,date,link,company,field,place,round,amount,investor
190,2015.6.27,https://www.itjuzi.com/investevents/15707,衣拍即合,电子商务,广东,天使轮,150万人民币,红秀资本
191,2015.6.27,https://www.itjuzi.com/investevents/15843,杭州掌康科技,医疗健康,浙江,Pre-A轮,数千万人民币,投资方未透露
192,2015.6.27,https://www.itjuzi.com/investevents/18014,美信金融,金融,北京,Pre-A轮,数千万人民币,"梅花天使创投,原子创投,陶石资本,贝塔斯曼亚洲投资基金"
193,2015.6.26,https://www.itjuzi.com/investevents/18724,元子育儿,教育,北京,A轮,数千万人民币,中路资本
194,2015.6.26,https://www.itjuzi.com/investevents/6279,俺不挂,教育,山东,天使轮,100万人民币,投资方未透露
195,2015.6.26,https://www.itjuzi.com/investevents/6688,喵小瞳Mplanet-喵星科技,汽车交通,江苏,天使轮,500万人民币,"太火鸟,米仓资本,梧桐树资本"
196,2015.6.26,https://www.itjuzi.com/investevents/8241,奥林科技OlymTech-大掌柜,物流,浙江,A轮,2000万美元,"云启资本,IDG资本,经纬中国"
197,2015.6.26,https://www.itjuzi.com/investevents/8341,全民广场舞,本地生活,湖北,天使轮,500万人民币,"创新谷Innovalley,东湖天使基金"
198,2015.6.26,https://www.itjuzi.com/investevents/9143,雷云科技,游戏,湖北,天使轮,250万人民币,东湖天使基金
199,2015.6.26,https://www.itjuzi.com/investevents/9333,轻轻家教,教育,广东,C轮,1亿美元,"好未来(学而思),红杉资本中国,IDG资本,挚信资本"
200,2015.6.26,https://www.itjuzi.com/investevents/9339,有住网,房产服务,山东,A轮,1亿人民币,宜华木业
201,2015.6.26,https://www.itjuzi.com/investevents/9340,奇趴网络,本地生活,北京,天使轮,数百万人民币,鼎晟天平投资
202,2015.6.26,https://www.itjuzi.com/investevents/9341,票据宝,金融,广东,A轮,2000万美元,人人公司
203,2015.6.26,https://www.itjuzi.com/investevents/9343,中量网-交易王,金融,北京,A轮,数千万人民币,千合资本
204,2015.6.26,https://www.itjuzi.com/investevents/9345,贴心医生,医疗健康,北京,A轮,5125万人民币,天润仪器
205,2015.6.26,https://www.itjuzi.com/investevents/10063,咖狗网CargoPM,物流,浙江,A轮,2000万美元,"IDG资本,经纬中国,云启资本"
206,2015.6.26,https://www.itjuzi.com/investevents/10730,联众医药网,医疗健康,湖北,天使轮,480万人民币,东湖天使基金
207,2015.6.26,https://www.itjuzi.com/investevents/10731,所见网络科技,企业服务,湖北,天使轮,150万人民币,"东湖天使基金,六禾创投"
208,2015.6.26,https://www.itjuzi.com/investevents/10734,哈哈农场,企业服务,湖北,天使轮,300万人民币,东湖天使基金
209,2015.6.26,https://www.itjuzi.com/investevents/10735,大学助手,工具软件,湖北,天使轮,100万人民币,"东湖天使基金,六禾创投"
210,2015.6.26,https://www.itjuzi.com/investevents/11258,猎鹰网络,广告营销,上海,B轮,数千万人民币,投资方未透露
211,2015.6.26,https://www.itjuzi.com/investevents/11835,搭搭顺风车,汽车交通,北京,天使轮,数百万人民币,投资方未透露
